Taxonomy,mode,keep
Echinostrephus aciculatus      ,invert_herbivore,Yes
Echinometra mathaei,invert_herbivore,Yes
Diadema setosum,invert_herbivore,Yes
Tectus niloticus,invert_herbivore,Yes
Culcita novaeguineae (1m away),NA,No
Tectus niloticus (1m away),invert_herbivore,No
Lambis truncata,invert_herbivore,Yes
Tridacna maxima (1m away),NA,No
Diadema savignyi,invert_herbivore,Yes
Echinothrix calamaris,invert_herbivore,Yes
Acanthaster planci,NA,No
Echinometra oblonga,invert_herbivore,Yes
Trochus maculatus,invert_herbivore,Yes
Turbo marmoratus,invert_herbivore,Yes
Linckia laevigata (1m away),invert_herbivore,Yes
No invertebrate observed,NA,No
Echinothrix diadema,invert_herbivore,Yes
Culcita novaeguineae,NA,No
Acanthaster planci (1m away),NA,No
Tripneustes gratilla,invert_herbivore,Yes
Turbo marmoratus (1m away),invert_herbivore,Yes
Spirobranchus giganteus,NA,No