species,sample_type,sample_subtype,classcode,Kingdom,Phylum,Class,Order,Family,Genus,Species,species_definition,taxonomic_source,common_name,mode,keep
HALCRA,SWATH,INVERT,HALCRA,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,cracherodii,Haliotis cracherodii,WoRMS,Black Abalone,invert_herbivore,yes
HALCRA,SIZEFREQ,INVERT,HALCRA,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,cracherodii,Haliotis cracherodii,WoRMS,Black Abalone,invert_herbivore,yes
HALFUL,SIZEFREQ,INVERT,HALFUL,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,fulgens,Haliotis fulgens,WoRMS,Green Abalone,invert_herbivore,yes
HALFUL,SWATH,INVERT,HALFUL,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,fulgens,Haliotis fulgens,WoRMS,Green Abalone,invert_herbivore,yes
HALKAM,SIZEFREQ,INVERT,HALKAM,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,kamtschatkana,Haliotis kamtschatkana,WoRMS,Pinto Abalone,invert_herbivore,yes
HALKAM,SWATH,INVERT,HALKAM,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,kamtschatkana,Haliotis kamtschatkana,WoRMS,Pinto Abalone,invert_herbivore,yes
HALRUF,SWATH,INVERT,HALRUF,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,rufescens,Haliotis rufescens,WoRMS,Red Abalone,invert_herbivore,yes
HALRUF,SIZEFREQ,INVERT,HALRUF,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,rufescens,Haliotis rufescens,WoRMS,Red Abalone,invert_herbivore,yes
HALSPP,SIZEFREQ,INVERT,HALSPP,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,spp,Haliotis,WoRMS,Abalone Spp.,invert_herbivore,yes
HALSPP,SWATH,INVERT,HALSPP,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,spp,Haliotis,WoRMS,Abalone Spp.,invert_herbivore,yes
HALWAL,SWATH,INVERT,HALWAL,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,walallensis,Haliotis walallensis,WoRMS,Flat Abalone,invert_herbivore,yes
HALWAL,SIZEFREQ,INVERT,HALWAL,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,walallensis,Haliotis walallensis,WoRMS,Flat Abalone,invert_herbivore,yes
HANA,FISH,FISH,HANA,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hyperprosopon,anale,Hyperprosopon anale,WoRMS,Spotfin Surfperch,,no
HARG,FISH,FISH,HARG,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hyperprosopon,argenteum,Hyperprosopon argenteum,WoRMS,Walleye Surfperch,,no
HAZU,FISH,FISH,HAZU,Animalia,Chordata,Actinopterygii,Perciformes,Kyphosidae,Hermosilla,azurea,Hermosilla azurea,WoRMS,Zebra-Perch Sea Chub,,no
HCAL,FISH,FISH,HCAL,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Haemulon,californiensis,Haemulon californiensis,WoRMS,Californian Salema,,no
HCAR,FISH,FISH,HCAR,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hypsurus,caryi,Hypsurus caryi,WoRMS,Rainbow Surfperch,,no
HDEC,FISH,FISH,HDEC,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,decagrammus,Hexagrammos decagrammus,WoRMS,Kelp Greenling,,no
HELL,FISH,FISH,HELL,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hyperprosopon,ellipticum,Hyperprosopon ellipticum,WoRMS,Silver Surfperch,,no
HENLEV,SWATH,INVERT,HENLEV,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,leviuscula,Henricia leviuscula,WoRMS,Blood Star,,no
HENLEV,SIZEFREQ,INVERT,HENLEV,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,leviuscula,Henricia leviuscula,WoRMS,Blood Star,,no
HERMSPP,QUAD,INVERT,HERMSPP,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,NA,NA,Paguridae,WoRMS,Hermit Crabs,,no
HERMSPP,SWATH,INVERT,HERMSPP,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,NA,NA,Paguridae,WoRMS,Hermit Crabs,,no
HETPAC,UPC,COVER,HETPAC,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Heteroporidae,Heteropora,pacifica,Heteropora pacifica,WoRMS,Northern Staghorn Bryozoan,,no
HEXA,FISH,FISH,HEXA,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,spp,Hexagrammos,WoRMS,Unidentified Hexagrammos,,no
HFRA,FISH,FISH,HFRA,Animalia,Chordata,Elasmobranchii,Heterodontiformes,Heterodontidae,Heterodontus,francisci,Heterodontus francisci,WoRMS,Horn Shark,,no
HGRI,FISH,FISH,HGRI,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,griseus,Hexanchus griseus,WoRMS,Sixgill shark,,no
HHEM,FISH,FISH,HHEM,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Hemilepidotus,hemilepidotus,Hemilepidotus hemilepidotus,WoRMS,Red Irish Lord,,no
HLAG,FISH,FISH,HLAG,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,lagocephalus,Hexagrammos lagocephalus,WoRMS,Rock Greenling,,no
HROS,FISH,FISH,HROS,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Heterostichus,rostratus,Heterostichus rostratus,WoRMS,Giant Kelpfish,,no
HROS,QUAD,FISH,HROS,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Heterostichus,rostratus,Heterostichus rostratus,WoRMS,Giant Kelpfish,,no
HRUB,FISH,FISH,HRUB,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Hypsypops,rubicundus,Hypsypops rubicundus,WoRMS,Garibaldi,fish_herbivore,yes
HSEM,FISH,FISH,HSEM,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,semicinctus,Halichoeres semicinctus,WoRMS,Rock Wrasse,,no
HSTE,FISH,FISH,HSTE,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,stelleri,Hexagrammos stelleri,WoRMS,Whitespotted Greenling,,no
HYDROID,UPC,COVER,HYDROID,Animalia,Cnidaria,Hydrozoa,NA,NA,NA,NA,Hydroid,WoRMS,Hydroid,,no
JZON,FISH,FISH,JZON,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Jordania,zonope,Jordania zonope,WoRMS,Longfin Sculpin,,no
KELKEL,QUAD,INVERT,KELKEL,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Kelletia,kelletii,Kelletia kelletii,WoRMS,Kellet's Whelk,,no
KELKEL,SIZEFREQ,INVERT,KELKEL,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Kelletia,kelletii,Kelletia kelletii,WoRMS,Kellet's Whelk,,no
KELKEL,SWATH,INVERT,KELKEL,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Kelletia,kelletii,Kelletia kelletii,WoRMS,Kellet's Whelk,,no
KGB,FISH,FISH,KGB,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,"atrovirens,carnatus,chrysomelas,caurinus",Sebastes atrovirens/carnatus/chrysomelas/caurinus,WoRMS,"Kelp, Gopher, Black And Yellow, and Copper Rockfish Young of Year",,no
KSEI,FISH,FISH,KSEI,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Kasatkia,seigeli,Kasatkia seigeli,WoRMS,Six-Spot Prickleback,,no
LACY,UPC,COVER,LACY,Plantae,Rhodophyta,NA,NA,NA,NA,NA,Red Algae (Lacy Branching),PISCO,Red Algae (Lacy Branching),algae,yes
LAMFAR,SWATH,ALGAE,LAMFAR,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,farlowii,Laminaria farlowii,WoRMS,Laminaria,algae,yes
LAMHOLD,UPC,COVER,LAMHOLD,Chromista,Ochrophyta,Phaeophyceae,Laminariales,NA,NA,NA,Laminariales Holdfast (Alive),PISCO,Laminariales Holdfast (Alive),,no
LAMSETAD,SWATH,ALGAE,LAMSETAD,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,setchellii,Laminaria setchellii,WoRMS,Laminaria,algae,yes
LAMSETADSUB,SWATH,ALGAE,LAMSETADSUB,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,setchellii,Laminaria setchellii,WoRMS,Laminaria,algae,yes
LAMSPP,SWATH,ALGAE,LAMSPP,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,spp,Laminaria,WoRMS,Laminaria,algae,yes
LAMSTUMP,SWATH,ALGAE,LAMSTUMP,Chromista,Ochrophyta,Phaeophyceae,Laminariales,NA,Laminariales,spp,Laminariales,WoRMS,Laminareales stump,,no
LCON,FISH,FISH,LCON,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Lethops,connectens,Lethops connectens,WoRMS,"Kelp Goby, Halfblind Goby",,no
LDAL,FISH,FISH,LDAL,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Lythrypnus,dalli,Lythrypnus dalli,WoRMS,Bluebanded Goby,,no
LDAL,QUAD,FISH,LDAL,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Lythrypnus,dalli,Lythrypnus dalli,WoRMS,Bluebanded Goby,,no
LEAFY,UPC,COVER,LEAFY,Plantae,Rhodophyta,NA,NA,NA,NA,NA,Red Algae (Leaf-Like),PISCO,Red Algae (Leaf-Like),algae,yes
LEPCHI,SWATH,INVERT,LEPCHI,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Leptogorgia,chilensis,Leptogorgia chilensis,WoRMS,Red Gorgonian,,no
LEPHEX,SWATH,INVERT,LEPHEX,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,hexactis,Leptasterias hexactis,WoRMS,Six Arm Star,,no
LEPHEXAD,QUAD,INVERT,LEPHEXAD,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,hexactis,Leptasterias hexactis,WoRMS,Six Arm Star adult,,no
LHIR,FISH,FISH,LHIR,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Leiocottus,hirundo,Leiocottus hirundo,WoRMS,Lavender Sculpin,,no
LINCOL,SWATH,INVERT,LINCOL,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Linckia,columbiae,Linckia columbiae,WoRMS,Fragile Star,,no
LINCOL,QUAD,INVERT,LINCOL,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Linckia,columbiae,Linckia columbiae,WoRMS,Fragile Star,,no
LINCOL,SIZEFREQ,INVERT,LINCOL,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Linckia,columbiae,Linckia columbiae,WoRMS,Fragile Star,,no
LIPA,FISH,FISH,LIPA,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,spp,Liparis,WoRMS,Snailfish,,no
LLEP,FISH,FISH,LLEP,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Lepidogobius,lepidus,Lepidogobius lepidus,WoRMS,Bay Goby,,no
LMUC,FISH,FISH,LMUC,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,mucosus,Liparis mucosus,WoRMS,Slimy Snailfish,,no
LOPMAN,SWATH,INVERT,LOPMAN,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lopholithodes,mandtii,Lopholithodes mandtii,WoRMS,Puget Sound King Crab,,no
LOXGRA,SWATH,INVERT,LOXGRA,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus,grandis,Loxorhynchus grandis,WoRMS,Sheep Crab,,no
LOXSCY,SWATH,INVERT,LOXSCY,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus/Scyra,crispatus/acutifrons,Loxorhynchus crispatus/Scyra acutifrons,WoRMS,"Decorator Crab, Moss Crab",,no
LUIFOL,SWATH,INVERT,LUIFOL,Animalia,Echinodermata,Asteroidea,Paxillosida,Luidiidae,Luidia,foliolata,Luidia foliolata,WoRMS,Sand Star,,no
LYTPIC,SIZEFREQ,INVERT,LYTPIC,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Lytechinus,pictus,Lytechinus pictus,WoRMS,white urchin,invert_herbivore,yes
LYTPIC,SWATH,INVERT,LYTPIC,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Lytechinus,pictus,Lytechinus pictus,WoRMS,white urchin,invert_herbivore,yes
MACPYRAD,SWATH,ALGAE,MACPYRAD,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,pyrifera,Macrocystis pyrifera,WoRMS,Macrocystis,algae,yes
MACPYRHF,UPC,COVER,MACPYRHF,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,pyrifera,Macrocystis pyrifera,WoRMS,Macrosystis Holdfast (Alive),,no
MCAL,FISH,FISH,MCAL,Animalia,Chordata,Actinopterygii,Perciformes,Kyphosidae,Medialuna,californiensis,Medialuna californiensis,WoRMS,Halfmoon,fish_herbivore,yes
MCEP,FISH,FISH,MCEP,Animalia,Chordata,Actinopterygii,Perciformes,Mugilidae,Mugil,cephalus,Mugil cephalus,WoRMS,Mullet,,no
MEDAEQ,SIZEFREQ,INVERT,MEDAEQ,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,aequalis,Mediaster aequalis,WoRMS,Red Star,invert_herbivore,yes
MEDAEQ,SWATH,INVERT,MEDAEQ,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,aequalis,Mediaster aequalis,WoRMS,Red Star,invert_herbivore,yes
MEGCRE,SIZEFREQ,INVERT,MEGCRE,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Megathura,crenulata,Megathura crenulata,WoRMS,Giant Key-Hole Limpet,invert_herbivore,yes
MEGCRE,SWATH,INVERT,MEGCRE,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Megathura,crenulata,Megathura crenulata,WoRMS,Giant Key-Hole Limpet,invert_herbivore,yes
MEGSPP,SWATH,INVERT,MEGSPP,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Megastrea/Lithopoma/Pomaulax/Astraea,spp,Turbinidae,WoRMS,Turban Snail,,no
MEGUND,SWATH,INVERT,MEGUND,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Megastraea,undosa,Megastraea undosa,WoRMS,Wavy Turban Snail,invert_herbivore,yes
MEGUND,SIZEFREQ,INVERT,MEGUND,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Megastraea,undosa,Megastraea undosa,WoRMS,Wavy Turban Snail,invert_herbivore,yes
MESFRAAD,SIZEFREQ,INVERT,MESFRAAD,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,franciscanus,Mesocentrotus franciscanus,WoRMS,Red Urchin adult,invert_herbivore,yes
MESFRAAD,SWATH,INVERT,MESFRAAD,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,franciscanus,Mesocentrotus franciscanus,WoRMS,Red Urchin adult,invert_herbivore,yes
MESFRAREC,SWATH,INVERT,MESFRAREC,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,franciscanus,Mesocentrotus franciscanus,WoRMS,Red Urchin  recruit,,no
METSPP,SWATH,INVERT,METSPP,Animalia,Cnidaria,Anthozoa,Actiniaria,Metridiidae,Metridium,spp,Metridium,WoRMS,White Plumed Anemones,,no
MMIN,FISH,FISH,MMIN,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Micrometrus,minimus,Micrometrus minimus,WoRMS,Dwarf Surfperch,,no
MMOL,FISH,FISH,MMOL,Animalia,Chordata,Actinopterygii,Tetradontiformes,Molidae,Mola,mola,Mola mola,WoRMS,Ocean Sunfish,,no
MUD,UPC,COVER,MUD,NA,NA,NA,NA,NA,NA,NA,Sediment/Mud,PISCO,Sediment/Mud,,no
MURCAL,SWATH,INVERT,MURCAL,Animalia,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Muricea,californica,Muricea californica,WoRMS,California Golden Gorgonian,,no
MURFRU,SWATH,INVERT,MURFRU,Animalia,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Muricea,fruticosa,Muricea fruticosa,WoRMS,Brown Gorgonian,,no
MUSSEL,UPC,COVER,MUSSEL,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,NA,Mytilus spp,WoRMS,Mussel,,no
NBLA,FISH,FISH,NBLA,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,Neoclinus,blanchardi,Neoclinus blanchardi,WoRMS,Sarcastic Fringehead,,no
NEOFIM,SWATH,ALGAE,NEOFIM,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Agaraceae,Neoagarum,fimbriatum,Neoagarum fimbriatum,WoRMS,Sieve/colander kelp,algae,yes
NEOSPA,SWATH,INVERT,NEOSPA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Neobernaya,spadicea,Neobernaya spadicea,WoRMS,Chestnut Cowrie,,no
NERLUE,SWATH,ALGAE,NERLUE,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Nereocystis,luetkeana,Nereocystis luetkeana,WoRMS,"Nereocystis, bull kelp",algae,yes
NO_ORG,SIZEFREQ,SIZEFREQ,NO_ORG,NA,NA,NA,NA,NA,NA,NA,No Organisms Present In This Sample,PISCO,No Organisms Present In This Sample,,yes
NO_ORG,QUAD,QUAD,NO_ORG,NA,NA,NA,NA,NA,NA,NA,No Organisms Present In This Sample,PISCO,No Organisms Present In This Sample,,yes
NO_ORG,FISH,FISH,NO_ORG,NA,NA,NA,NA,NA,NA,NA,No Organisms Present In This Sample,PISCO,No Organisms Present In This Sample,,yes
NO_ORG,SWATH,SWATH,NO_ORG,NA,NA,NA,NA,NA,NA,NA,No Organisms Present In This Sample,PISCO,No Organisms Present In This Sample,,yes
NORSPP,SWATH,INVERT,NORSPP,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Norrisia,spp,Norrisia,WoRMS,Norris's Top Snail,invert_herbivore,yes
NSTE,FISH,FISH,NSTE,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,Neoclinus,stephensae,Neoclinus stephensae,WoRMS,Yellowfin Fringehead,,no
NUNI,FISH,FISH,NUNI,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,Neoclinus,uninotatus,Neoclinus uninotatus,WoRMS,Onespot Fringehead,,no
OCAL,FISH,FISH,OCAL,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Oxyjulis,californica,Oxyjulis californica,WoRMS,Senorita,,no
OCTOCORAL,UPC,COVER,OCTOCORAL,Animalia,Cnidaria,Anthozoa,Alcyonacea,NA,NA,NA,Octocoral,PISCO,Octocoral,,no
OCTOPUS,SWATH,INVERT,OCTOPUS,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,spp,Octopus,WoRMS,Octopus,,no
OELO,FISH,FISH,OELO,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon,elongatus,Ophiodon elongatus,WoRMS,Lingcod,,no
OPIC,QUAD,FISH,OPIC,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,pictus,Oxylebius pictus,WoRMS,Painted Greenling,,no
OPIC,FISH,FISH,OPIC,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,pictus,Oxylebius pictus,WoRMS,Painted Greenling,,no
ORTKOE,SWATH,INVERT,ORTKOE,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Orthasterias,koehleri,Orthasterias koehleri,WoRMS,Rainbow Star,,no
ORTKOE,SIZEFREQ,INVERT,ORTKOE,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Orthasterias,koehleri,Orthasterias koehleri,WoRMS,Rainbow Star,,no
OTRI,FISH,FISH,OTRI,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Orthonopias,triacis,Orthonopias triacis,WoRMS,Snubnose Sculpin,,no
OYB,FISH,FISH,OYB,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,"serranoides,flavidus,melanops",Sebastes serranoides/flavidus/melanops,WoRMS,"Olive, Yellowtail, and Black Rockfish Young Of Year",,no
OYT,FISH,FISH,OYT,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,"serranoides,flavidus",Sebastes serranoides/flavidus,WoRMS,Olive Or Yellowtail Rockfish,,no
PACFIM,QUAD,INVERT,PACFIM,Animalia,Cnidaria,Anthozoa,Spirularia,Cerianthidae,Pachycerianthus,fimbriatus,Pachycerianthus fimbriatus,WoRMS,Burrowing Anemone,,no
PACFIM,SWATH,INVERT,PACFIM,Animalia,Cnidaria,Anthozoa,Spirularia,Cerianthidae,Pachycerianthus,fimbriatus,Pachycerianthus fimbriatus,WoRMS,Burrowing Anemone,,no
PACRUB,UPC,COVER,PACRUB,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Pachythyone,rubra,Pachythyone rubra,WoRMS,Red Sea Cucumber,,no
PACRUB,QUAD,INVERT,PACRUB,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Pachythyone,rubra,Pachythyone rubra,WoRMS,Red Sea Cucumber,,no
PANINT,SWATH,INVERT,PANINT,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,interruptus,Panulirus interruptus,WoRMS,Spiny Lobster,,no
PANINT,SIZEFREQ,INVERT,PANINT,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,interruptus,Panulirus interruptus,WoRMS,Spiny Lobster,,no
PATMIN,SWATH,INVERT,PATMIN,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,miniata,Patiria miniata,WoRMS,Bat Star,,no
PATMIN,SIZEFREQ,INVERT,PATMIN,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,miniata,Patiria miniata,WoRMS,Bat Star,,no
PATR,FISH,FISH,PATR,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Phanerodon,atripes,Phanerodon atripes,WoRMS,Sharpnose Surfperch,,no
PCAL,FISH,FISH,PCAL,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,californicus,Paralichthys californicus,WoRMS,California Halibut,,no
PCLA,FISH,FISH,PCLA,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Paralabrax,clathratus,Paralabrax clathratus,WoRMS,"Kelp Bass, Calico Bass",fish_herbivore,no
PCOE,FISH,FISH,PCOE,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronichthys,coenosus,Pleuronichthys coenosus,WoRMS,C-O Turbot,,no
PETMON,UPC,COVER,PETMON,Animalia,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Petaloconchus,montereyensis,Petaloconchus montereyensis,WoRMS,Worm Snail,,no
PFAL,FISH,FISH,PFAL,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Prognathodes,falcifer,Prognathodes falcifer,WoRMS,Scythemarked Butterflyfish,,no
PFUR,FISH,FISH,PFUR,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Phanerodon,furcatus,Phanerodon furcatus,WoRMS,White Surfperch,fish_herbivore,yes
PGLA,FISH,FISH,PGLA,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,glauca,Prionace glauca,WoRMS,Blue Shark,,no
PHOL,FISH,FISH,PHOL,Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Pholidae,spp,Pholidae,WoRMS,Gunnels,,no
PHRCAL,UPC,COVER,PHRCAL,Animalia,Annelida,Polychaeta,NA,Sabellariidae,Phragmatopoma,californica,Phragmatopoma californica,WoRMS,Colonial Sand Tube Worm,,no
PHYSPP,UPC,COVER,PHYSPP,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Cymodoceaceae,Phyllospadix,spp,Phyllospadix,WoRMS,Surfgrass,algae,yes
PISBRE,SWATH,INVERT,PISBRE,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,brevispinus,Pisaster brevispinus,WoRMS,Short Spined Star,,no
