species,sample_type,sample_subtype,classcode,Kingdom,Phylum,Class,Order,Family,Genus,Species,species_definition,taxonomic_source,common_name,mode,keep
PISBRE,SIZEFREQ,INVERT,PISBRE,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,brevispinus,Pisaster brevispinus,WoRMS,Short Spined Star,,no
PISGIG,SWATH,INVERT,PISGIG,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,giganteus,Pisaster giganteus,WoRMS,Giant Spined Star,,no
PISGIG,SIZEFREQ,INVERT,PISGIG,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,giganteus,Pisaster giganteus,WoRMS,Giant Spined Star,,no
PISOCH,SWATH,INVERT,PISOCH,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,ochraceus,Pisaster ochraceus,WoRMS,Ochre Star,,no
PISOCH,SIZEFREQ,INVERT,PISOCH,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,ochraceus,Pisaster ochraceus,WoRMS,Ochre Star,,no
PISSPP,SWATH,INVERT,PISSPP,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,spp,Pisaster,WoRMS,Pisaster spp. unidentified,,no
PLEGAR,SWATH,ALGAE,PLEGAR,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Pleurophycus,gardneri,Pleurophycus gardneri,WoRMS,Pleurophycus,algae,yes
PLEU,FISH,FISH,PLEU,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectidae,spp,Pleuronectidae,WoRMS,Righteyed Flounders,,no
PMAC,FISH,FISH,PMAC,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Paralabrax,maculatofasciatus,Paralabrax maculatofasciatus,WoRMS,Spotted Sandbass,,no
PNEB,FISH,FISH,PNEB,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Paralabrax,nebulifer,Paralabrax nebulifer,WoRMS,Barred Sandbass,,no
PNOT,FISH,FISH,PNOT,Animalia,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,Porichthys,notatus,Porichthys notatus,WoRMS,Plainfin Midshipman,,no
POMGIB,SWATH,INVERT,POMGIB,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Pomaulax,gibberosus,Pomaulax gibberosus,WoRMS,Red Turban Snail,invert_herbivore,yes
POMGIB,SIZEFREQ,INVERT,POMGIB,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Pomaulax,gibberosus,Pomaulax gibberosus,WoRMS,Red Turban Snail,invert_herbivore,yes
PORINF,SWATH,INVERT,PORINF,Animalia,Echinodermata,Asteroidea,Valvatida,Poraniidae,Poraniopsis,inflata,Poraniopsis inflata,WoRMS,Spiny Sea Star,,no
PPRO,FISH,FISH,PPRO,Animalia,Chordata,Elasmobranchii,Rajiformes,Rhinobatidae,Pseudobatos,productus,Pseudobatos productus,WoRMS,Shovelnose Guitarfish,,no
PTECALAD,SWATH,ALGAE,PTECALAD,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Pterygophora,californica,Pterygophora californica,WoRMS,Pterygophora,algae,yes
PTECALADSUB,SWATH,ALGAE,PTECALADSUB,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Pterygophora,californica,Pterygophora californica,WoRMS,Pterygophora,algae,yes
PTESTE,SWATH,INVERT,PTESTE,Animalia,Mollusca,Bivalvia,Ostreida,Pteriidae,Pteria,sterna,Pteria sterna,WoRMS,Pacific wing oyster,,no
PTETES,SWATH,INVERT,PTETES,Animalia,Echinodermata,Asteroidea,Velatida,Pterasteridae,Pteraster,tesselatus,Pteraster tesselatus,WoRMS,Cushion Star,,no
PTRI,FISH,FISH,PTRI,Animalia,Chordata,Elasmobranchii,Rajiformes,Rhinobatidae,Platyrhinoidis,triseriata,Platyrhinoidis triseriata,WoRMS,Thornback,,no
PUGFOL,SWATH,INVERT,PUGFOL,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,foliata,Pugettia foliata,WoRMS,Mimicking Crab,invert_herbivore,yes
PUGPRO,QUAD,INVERT,PUGPRO,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,producta,Pugettia producta,WoRMS,Northern Kelp Crab,invert_herbivore,yes
PUGPRO,SWATH,INVERT,PUGPRO,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,producta,Pugettia producta,WoRMS,Northern Kelp Crab,invert_herbivore,yes
PUGRIC,QUAD,INVERT,PUGRIC,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,richii,Pugettia richii,WoRMS,Cryptic Kelp Crab,invert_herbivore,yes
PUGRIC,SWATH,INVERT,PUGRIC,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,richii,Pugettia richii,WoRMS,Cryptic Kelp Crab,invert_herbivore,yes
PUGSPP,SWATH,INVERT,PUGSPP,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,spp,Pugettia spp,WoRMS,Kelp Crab,invert_herbivore,yes
PYCHEL,SWATH,INVERT,PYCHEL,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia,helianthoides,Pycnopodia helianthoides,WoRMS,Sunflower Star,,no
RALL,FISH,FISH,RALL,Animalia,Chordata,Actinopterygii,Perciformes,Bathymasteridae,Rathbunella,alleni,Rathbunella alleni,WoRMS,Stripefin Ronquil,,no
RHYP,FISH,FISH,RHYP,Animalia,Chordata,Actinopterygii,Perciformes,Bathymasteridae,Rathbunella,hypoplecta,Rathbunella hypoplecta,WoRMS,Smooth Ronquil,,no
RJOR,FISH,FISH,RJOR,Animalia,Chordata,Actinopterygii,Perciformes,Bathymasteridae,Ronquilus,jordani,Ronquilus jordani,WoRMS,Northern Ronquil,,no
RNIC,FISH,FISH,RNIC,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,WoRMS,Blackeye Goby,,no
RNIC,QUAD,FISH,RNIC,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,WoRMS,Blackeye Goby,,no
RRIC,FISH,FISH,RRIC,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Rhamphocottidae,Rhamphocottus,richardsonii,Rhamphocottus richardsonii,WoRMS,Grunt Sculpin,,no
RSTE,FISH,FISH,RSTE,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,stellulata,Raja stellulata,WoRMS,Starry Skate,,no
RTOX,FISH,FISH,RTOX,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Rhacochilus,toxotes,Rhacochilus toxotes,WoRMS,Rubberlip Surfperch,,no
RVAC,FISH,FISH,RVAC,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Rhacochilus,vacca,Rhacochilus vacca,WoRMS,Pile Surfperch,,no
SACA,FISH,FISH,SACA,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,acanthias,Squalus acanthias,WoRMS,Spiny Dogfish,,no
SALTRI,UPC,COVER,SALTRI,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Salmacina,tribranchiata,Salmacina tribranchiata,WoRMS,Fragile Tube Worms,,no
SAND,UPC,SUBSTRATE,SAND,NA,NA,NA,NA,NA,NA,NA,Substrate: Sand,PISCO,Substrate: Sand,,no
SARG,FISH,FISH,SARG,Animalia,Chordata,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena,argentea,Sphyraena argentea,WoRMS,California Barracuda,,no
SARHOR,UPC,COVER,SARHOR,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,horneri,Sargassum horneri,WoRMS,Invasive Sargassum,algae,yes
SARMUT,UPC,COVER,SARMUT,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,muticum,Sargassum muticum,WoRMS,Sargassum,algae,yes
SARSPP,UPC,COVER,SARSPP,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,spp,Sargassum,WoRMS,Sargassum,algae,yes
SATR,FISH,FISH,SATR,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,atrovirens,Sebastes atrovirens,WoRMS,Kelp Rockfish,,no
SAUR,FISH,FISH,SAUR,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,auriculatus,Sebastes auriculatus,WoRMS,Brown Rockfish,,no
SB00RED,UPC,COVER,SB00RED,Plantae,Rhodophyta,NA,NA,NA,NA,NA,"UCSB 2000 Definition Of 'Other Red' Included All Red Algae Except Rhospp, Bushy, Leafy, Crucor And Erecor",PISCO,"UCSB 2000 Definition Of 'Other Red' Included All Red Algae Except Rhospp, Bushy, Leafy, Crucor And Erecor",,no
SC00RED,UPC,COVER,SC00RED,Plantae,Rhodophyta,NA,NA,NA,NA,NA,"UCSC 2000 Definition Of 'Other Red' Included All Red Algae Except Rhospp, Bushy, Leafy, Crucor And Erecor",PISCO,"UCSC 2000 Definition Of 'Other Red' Included All Red Algae Except Rhospp, Bushy, Leafy, Crucor And Erecor",,no
SCAL,FISH,FISH,SCAL,Animalia,Chordata,Elasmobranchii,Squatiniformes,Squatinidae,Squatina,californica,Squatina californica,WoRMS,Pacific Angel Shark,,no
SCALLOP,UPC,COVER,SCALLOP,Animalia,Mollusca,Bivalvia,Pectinida,NA,NA,NA,Scallop,PISCO,Scallop,,no
SCAR,FISH,FISH,SCAR,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,carnatus,Sebastes carnatus,WoRMS,Gopher Rockfish,,no
SCARSCAU,FISH,FISH,SCARSCAU,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,"carnatus, caurinus",Sebastes carnatus/caurinus,WoRMS,"Gopher, Copper Rockfish Young Of Year",,no
SCAU,FISH,FISH,SCAU,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,caurinus,Sebastes caurinus,WoRMS,Copper Rockfish,,no
SCHI,FISH,FISH,SCHI,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Sarda,chiliensis chiliensis,Sarda chiliensis chiliensis,WoRMS,Eastern Pacific Bonito,,no
SCHR,FISH,FISH,SCHR,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,chrysomelas,Sebastes chrysomelas,WoRMS,Black And Yellow Rockfish,,no
SCSB99RED,UPC,COVER,SCSB99RED,Plantae,Rhodophyta,NA,NA,NA,NA,NA,"UCSC and UCSB 1999 Definition Of 'Other Red' Included All Red Algae Except Rhospp, Crucor And Erecor",PISCO,"UCSC and UCSB 1999 Definition Of 'Other Red' Included All Red Algae Except Rhospp, Crucor And Erecor",,no
SCUM,UPC,COVER,SCUM,NA,NA,NA,NA,NA,NA,NA,Diatom Layer,PISCO,Diatom Layer,,no
SDAL,FISH,FISH,SDAL,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,dallii,Sebastes dallii,WoRMS,Calico Rockfish,,no
SDIP,FISH,FISH,SDIP,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,diploproa,Sebastes diploproa,WoRMS,Spitnose Rockfish,,no
SEBSPP,FISH,FISH,SEBSPP,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,spp,Sebastes,WoRMS,"Rockfish, Unidentified Sp.",,no
SENT,FISH,FISH,SENT,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,entomelas,Sebastes entomelas,WoRMS,Widow Rockfish,,no
SGIG,FISH,FISH,SGIG,Animalia,Chordata,Actinopterygii,Perciformes,Polyprionidae,Stereolepis,gigas,Stereolepis gigas,WoRMS,Giant Sea Bass,,no
SGUT,FISH,FISH,SGUT,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena,guttata,Scorpaena guttata,WoRMS,California Scorpionfish,,no
SGUT,QUAD,FISH,SGUT,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena,guttata,Scorpaena guttata,WoRMS,California Scorpionfish,,no
SHELL,UPC,COVER,SHELL,NA,NA,NA,NA,NA,NA,NA,Shell Debris,PISCO,Shell Debris,,no
SHOP,FISH,FISH,SHOP,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,hopkinsi,Sebastes hopkinsi,WoRMS,Squarespot Rockfish,,no
SJAP,FISH,FISH,SJAP,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Scomber,japonicus,Scomber japonicus,WoRMS,"Pacific Mackerel, Greenback Mackerel",,no
SLAL,FISH,FISH,SLAL,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Seriola,lalandi,Seriola lalandi,WoRMS,Yellowtail,,no
SLUC,FISH,FISH,SLUC,Animalia,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus,lucioceps,Synodus lucioceps,WoRMS,California Lizardfish,,no
SMAL,FISH,FISH,SMAL,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,maliger,Sebastes maliger,WoRMS,Quillback Rockfish,,no
SMAR,FISH,FISH,SMAR,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Scorpaenichthys,marmoratus,Scorpaenichthys marmoratus,WoRMS,Cabezon,,no
SMEL,FISH,FISH,SMEL,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,melanops,Sebastes melanops,WoRMS,Black Rockfish,,no
SMIN,FISH,FISH,SMIN,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,miniatus,Sebastes miniatus,WoRMS,Vermilion Rockfish,,no
SMYS,FISH,FISH,SMYS,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,mystinus,Sebastes mystinus,WoRMS,Blue Rockfish,,no
SNEB,FISH,FISH,SNEB,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,nebulosus,Sebastes nebulosus,WoRMS,China Rockfish,,no
SOLDAW,SWATH,INVERT,SOLDAW,Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,dawsoni,Solaster dawsoni,WoRMS,Dawson'S Sun Star,,no
SOLSPP,SWATH,INVERT,SOLSPP,Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,spp,Solaster,WoRMS,Unidentified Sun Star,,no
SOLSTI,SWATH,INVERT,SOLSTI,Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,stimpsoni,Solaster stimpsoni,WoRMS,Stimpson'S Sun Star,,no
SOLTUN,UPC,COVER,SOLTUN,Animalia,Chordata,Ascidiacea,NA,NA,NA,NA,Tunicate -Solitary,PISCO,Tunicate -Solitary,,no
SPAU,FISH,FISH,SPAU,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,paucispinis,Sebastes paucispinis,WoRMS,Bocaccio,,no
SPIN,FISH,FISH,SPIN,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,pinniger,Sebastes pinniger,WoRMS,Canary Rockfish,,no
SPONGE,UPC,COVER,SPONGE,Animalia,Porifera,NA,NA,NA,NA,NA,Porifera,WoRMS,Sponge,,no
SPUL,FISH,FISH,SPUL,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Semicossyphus,pulcher,Semicossyphus pulcher,WoRMS,California Sheephead,,no
SRAS,FISH,FISH,SRAS,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,rastrelliger,Sebastes rastrelliger,WoRMS,Grass Rockfish,,no
SROS,FISH,FISH,SROS,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,rosaceus,Sebastes rosaceus,WoRMS,Rosy Rockfish,,no
SRUB,FISH,FISH,SRUB,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,rubrivinctus,Sebastes rubrivinctus,WoRMS,Flag Rockfish,,no
SSAG,FISH,FISH,SSAG,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardinops,sagax,Sardinops sagax,WoRMS,Pacific Sardine,,no
SSAX,FISH,FISH,SSAX,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,saxicola,Sebastes saxicola,WoRMS,Stripetail Rockfish,,no
SSEM,FISH,FISH,SSEM,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,semicinctus,Sebastes semicinctus,WoRMS,Halfbanded Rockfish,,no
STEOSM,UPC,COVER,STEOSM,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Stephanocystis,osmundacea,Stephanocystis osmundacea,WoRMS,chain-bladder kelp,algae,yes
STEOSMAD,SWATH,ALGAE,STEOSMAD,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Stephanocystis,osmundacea,Stephanocystis osmundacea,WoRMS,chain-bladder kelp adult,algae,yes
STICH,FISH,FISH,STICH,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Stichaeidae,spp,Stichaeidae,WoRMS,Pricklebacks,,no
STRE,FISH,FISH,STRE,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,serriceps,Sebastes serriceps,WoRMS,Treefish,,no
STRPURAD,SWATH,INVERT,STRPURAD,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,purpuratus,Strongylocentrotus purpuratus,WoRMS,Purple Urchin adult,invert_herbivore,yes
STRPURAD,QUAD,INVERT,STRPURAD,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,purpuratus,Strongylocentrotus purpuratus,WoRMS,Purple Urchin adult,invert_herbivore,yes
STRPURREC,SWATH,INVERT,STRPURREC,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,purpuratus,Strongylocentrotus purpuratus,WoRMS,Purple Urchin recruit,,no
STRPURREC,QUAD,INVERT,STRPURREC,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,purpuratus,Strongylocentrotus purpuratus,WoRMS,Purple Urchin recruit,,no
STYCAL,SWATH,INVERT,STYCAL,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Stylaster,californicus,Stylaster californicus,WoRMS,California Hydrocoral,,no
STYCAL,UPC,COVER,STYCAL,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Stylaster,californicus,Stylaster californicus,WoRMS,California Hydrocoral,,no
STYFOR,SWATH,INVERT,STYFOR,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Stylasterias,forreri,Stylasterias forreri,WoRMS,Velcro Star,,no
STYMON,QUAD,INVERT,STYMON,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Styela,montereyensis,Styela montereyensis,WoRMS,Stalked Tunicate,,no
STYMON,SWATH,INVERT,STYMON,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Styela,montereyensis,Styela montereyensis,WoRMS,Stalked Tunicate,,no
STYPAP,UPC,COVER,STYPAP,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Stylantheca,papillosa,Stylantheca papillosa,WoRMS,Encrusting Purple Hydrocoral,,no
SYNG,FISH,FISH,SYNG,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,spp,Syngnathus,WoRMS,Pipefish,,no
SYRI,FISH,FISH,SYRI,Animalia,Chordata,Actinopterygii,Scorpaeniformes/Gobiesociformes,Cottidae/Gobiesocidae,Synchirus/Rimicola,spp,Synchirus/Rimicola,WoRMS,Manacled Sculpin/Kelp Clingfish,,no
TALNUT,SWATH,INVERT,TALNUT,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Taliepus,nuttallii,Taliepus nuttallii,WoRMS,Southern Kelp Crab,invert_herbivore,yes
TCAL,FISH,FISH,TCAL,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Tetronarce,californica,Tetronarce californica,WoRMS,Pacific Electric Ray,,no
TEGREG,SWATH,INVERT,TEGREG,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,regina,Tegula regina,WoRMS,Queen Tegula,invert_herbivore,yes
TEGSPP,QUAD,INVERT,TEGSPP,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,spp,Tegula spp,WoRMS,Turban snail,,no
TEGSPP,SWATH,INVERT,TEGSPP,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,spp,Tegula spp,WoRMS,Turban snail,,no
TEST,SWATH,INVERT,TEST,NA,NA,NA,NA,NA,NA,NA,Whole urchin test,PISCO,Whole urchin test,,no
TETCAL,SWATH,INVERT,TETCAL,Animalia,Porifera,Demospongiae,Tethyida,Tethyidae,Tethya,californiana,Tethya californiana,WoRMS,Orange Puff-Ball Sponge,,no
THYPET,UPC,COVER,THYPET,Animalia,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Thylacodes/Petaloconchus,squamigerus/montereyensis,Thylacodes squamigerus/Petaloconchus montereyensis,WoRMS,"Tube Snail, Scaled Worm Shell",,no
THYSQU,UPC,COVER,THYSQU,Animalia,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Thylacodes,squamigerus,Thylacodes squamigerus,WoRMS,"Tube Snail, Scaled Worm Shell",,no
TSEM,FISH,FISH,TSEM,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Triakis,semifasciata,Triakis semifasciata,WoRMS,Leopard Shark,,no
TSYM,FISH,FISH,TSYM,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,symmetricus,Trachurus symmetricus,WoRMS,Jack Mackerel,,no
TUBEMAT,UPC,COVER,TUBEMAT,Animalia,Annelida,Polychaeta,NA,NA,NA,NA,Tubeworm mat,PISCO,Tubeworm mat,,no
TUBEWORM,UPC,COVER,TUBEWORM,Animalia,Annelida,Polychaeta,NA,NA,NA,NA,Tubeworm,PISCO,Tubeworm,,no
TURF,UPC,COVER,TURF,Plantae,Rhodophyta,NA,NA,NA,NA,NA,Red Filamentous Turf,PISCO,Red Filamentous Turf,algae,yes
UNDJUVLAM,UPC,SUPERLAYER,UNDJUVLAM,Chromista,Ochrophyta,Phaeophyceae,Laminariales,NA,NA,NA,Laminariales Recruit,PISCO,Laminariales Recruit,,no
UNDPIN,SWATH,ALGAE,UNDPIN,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Undaria,pinnatifida,Undaria pinnatifida,WoRMS,Undaria,algae,yes
UNDPIN,UPC,COVER,UNDPIN,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Undaria,pinnatifida,Undaria pinnatifida,WoRMS,Undaria,algae,yes
UNID,FISH,FISH,UNID,Animalia,Chordata,NA,NA,NA,NA,NA,Unidentified Fish,PISCO,Unidentified Fish,,no
URTCOL,SWATH,INVERT,URTCOL,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Urticina,columbiana,Urticina columbiana,WoRMS,McPeak's Anemone,,no
URTCOL,SWATH,INVERT,URTCOL,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Urticina,columbiana,Urticina columbiana,WoRMS,Sand-Rose Anemone,,no
URTCOLMCP,SWATH,INVERT,URTCOLMCP,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Urticina,columbiana/mcpeaki,Urticina columbiana/mcpeaki,WoRMS,Sand-Rose/McPeak's Anemone,,no
URTCOR,SWATH,INVERT,URTCOR,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Urticina,coriacea,Urticina coriacea,WoRMS,Stubby Rose Anemone,,no
URTCRA,SWATH,INVERT,URTCRA,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Urticina,crassicornis,Urticina crassicornis,WoRMS,Christmas Anemone,,no
URTPIS,SWATH,INVERT,URTPIS,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Urticina,piscivora,Urticina piscivora,WoRMS,Fish-Eating Anemone,,no
URTSPP,SWATH,INVERT,URTSPP,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Urticina,spp,Urticina,WoRMS,Urticina Spp.,,no
USAN,FISH,FISH,USAN,Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Ulvicola,sanctaerosae,Ulvicola sanctaerosae,WoRMS,Kelp Gunnel,,no
WATSUB,UPC,COVER,WATSUB,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Watersiporidae,Watersipora,subtorquata,Watersipora subtorquata,WoRMS,Invasive bryozoan,,no
ZROS,FISH,FISH,ZROS,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Zalembius,rosaceus,Zalembius rosaceus,WoRMS,Pink Surfperch,,no